Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
200270,2020,11/23/2020,Greenwich,50 VINEYARD LANE,3962420,4750000,0.8341,Residential,Single Family,,,,POINT (-73.64754 41.05231)
200142,2020,11/3/2020,Bristol,14 MACARTHUR CT,149870,277000,0.541,Residential,Single Family,,,,POINT (-72.96183 41.66715)
200411,2020,1/12/2021,Bristol,820 MATTHEWS ST UN 36,64820,130000,0.4986,Residential,Condo,,,,POINT (-72.98271 41.6847)
200397,2020,07/14/2021,Avon,34 HIGHWOOD DRIVE,267690,487500,0.5491,Residential,Single Family,,,,POINT (-72.87895 41.78792)
200067,2020,10/30/2020,Glastonbury,80 COPLEY RD,191900,280000,0.6853,Residential,Condo,,,,POINT (-72.55044 41.67911)
200308,2020,12/3/2020,Greenwich,28 HOMESTEAD LANE,430010,670000,0.6418,Residential,Single Family,,,,
200664,2020,08/27/2021,Farmington,8649 PINNACLE RD,87980,115000,0.765,Vacant Land,,,,,
20887,2020,06/16/2021,Hartford,57 MADISON AVE & 66 MADISON AV,668710,1850000,0.3614,Apartments,,24 - Plottage,,,POINT (-72.71134 41.7534)
20133,2020,8/12/2021,Lebanon,241 LEBANON AVE,153820,321000,0.4791,Residential,Single Family,,,,POINT (-72.28072 41.6019)
2020252,2020,5/11/2021,Berlin,43 WILDEM RD,145000,301500,0.4809,Residential,Single Family,,,,POINT (-72.74808 41.62148)
201732,2020,09/15/2021,Greenwich,191 PUTNAM PARK,54118680,515000,105.0848155,Residential,Condo,08 - Part Interest,CO OP,,POINT (-73.61955 41.03403)
20954,2020,09/28/2021,East Hartford,241 OAK ST,108550,230100,0.4717,Residential,Single Family,,,,POINT (-72.57801 41.75739)
200051,2020,10/16/2020,Enfield,26 SPRING ST,136950,270000,0.5072,Residential,Four Family,,,,
200034,2020,11/17/2020,Killingworth,75 POND MEADOW ROAD,173710,244000,0.7119,Residential,Single Family,,,,
200791,2020,8/3/2021,Enfield,46 GANNY TERR,113510,260000,0.4365,Residential,Single Family,,,,POINT (-72.56622 42.00686)
200187,2020,01/15/2021,Guilford,227 STATE ST,187190,375000,0.4991,Residential,Single Family,,,,
20609,2020,6/9/2021,East Hartford,31 LORRAINE CT,90420,120000,0.7535,Residential,Single Family,,,,POINT (-72.60964 41.74499)
2000531,2020,09/21/2021,Cheshire,332 WOODPOND RD,250460,470000,0.5328,Residential,Single Family,,,,POINT (-72.89536 41.48854)
200023,2020,10/6/2020,Bristol,127 REDSTONE HILL,130550,95000,1.3742,Residential,Single Family,25 - Other,ESTATE SALE,,
200023,2020,11/9/2020,Columbia,134 ROUTE 87 WEST,220600,275000,0.8021,Residential,Single Family,,,,POINT (-72.32477 41.71675)
2000179,2020,2/8/2021,Cheshire,50 BELLAMY RD,259390,453000,0.5726,Residential,Single Family,,,,
20147,2020,11/17/2020,Hartford,45 WILLARD ST #03CL,11130,45000,0.247333333,Residential,Condo,14 - Foreclosure,FORECLOSURE RELATED SALE,,
200256,2020,01/19/2021,Glastonbury,72 GIDEON LN,176200,285000,0.6182,Residential,Single Family,,,,
201112,2020,6/2/2021,Greenwich,62 PARK AVENUE,1209460,2275000,0.5316,Residential,Single Family,,,,
200302,2020,5/3/2021,Madison,20 GULL ROCK RD,498500,1340000,0.372,Residential,Single Family,,,,
200324,2020,6/7/2021,Avon,77 BROOKMOOR ROAD,278570,520000,0.5357,Residential,Single Family,,,,
200861,2020,6/8/2021,Manchester,199 WELLS STREET,102200,230000,0.4443,Residential,Single Family,,,,
200154,2020,05/14/2021,Mansfield,6 SUMNER DR,157200,295000,0.5328,Residential,Single Family,,,,POINT (-72.27091 41.83353)
200603,2020,3/10/2021,Manchester,88 WALEK FARMS ROAD,153600,308000,0.4987,Residential,Single Family,,,,
200232,2020,01/22/2021,East Haven,151 HENRY ST,127730,220000,0.5805,Residential,Single Family,,,,POINT (-72.86948 41.25283)
20000234,2020,8/5/2021,Granby,42 BARN DOOR HILLS RD,351540,640024,0.5492,Residential,Single Family,,,,
200712,2020,09/14/2021,Farmington,86 FARMINGTON AV,126010,275000,0.4582,Residential,Single Family,,,,POINT (-72.78597 41.74295)
20743,2020,07/22/2021,East Hartford,58 CHEYENNE RD,25480,52000,0.49,Residential,Condo,25 - Other,MOBILE HOME/ DEPRESSED SALE,,POINT (-72.6354 41.73552)
200178,2020,6/7/2021,Mansfield,28 HUNTING LODGE RD,155900,348000,0.4479,Residential,Single Family,,,,
200902,2020,5/4/2021,Danbury,38 BLACKBERRY RD,161300,305000,0.5288,Residential,Single Family,,I07190,,POINT (-73.44986 41.43376)
200318,2020,06/25/2021,Killingly,25 HUMMINGBIRD WAY,152600,225000,0.6782,Residential,Condo,,,,POINT (-72.73529 41.63247)
200516,2020,09/21/2021,East Lyme,21 WHITING FARMS RD,72030,455000,0.1583,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION,,
200347,2020,05/19/2021,Guilford,78 TANNER MARSH RD,176890,167500,1.056,Residential,Single Family,08 - Part Interest,,,POINT (-72.65823 41.29038)
201328,2020,9/3/2021,Griswold,79 POPPLE BRIDGE RD,250810,475000,0.528,Residential,Single Family,,,,POINT (-71.9024 41.57084)
20655,2020,06/28/2021,East Hartford,61 COLBY DR,132890,315000,0.421873016,Residential,Single Family,07 - Change in Property,,COMPLETELY REMODELED PER MLS WITH 2.5 BATHS,
201259,2020,09/15/2021,Manchester,127 DELMONT STREET,139600,289000,0.483,Residential,Single Family,,,,
2000547,2020,09/28/2021,Cheshire,272 E JOHNSON AVE,253780,170000,1.4928,Residential,Single Family,,,,POINT (-72.88067 41.55185)
200549,2020,09/29/2021,Madison,15 MIDDLE BEACH RD,538200,1280000,0.4204,Residential,Single Family,,,,POINT (-72.59986 41.26949)
200665,2020,3/2/2021,Danbury,34 PATRIOT DR A-10,31800,75500,0.421192053,Residential,Condo,,I14298-10,,
201590,2020,08/13/2021,Greenwich,138 CAT ROCK ROAD,2045330,3850000,0.5312,Residential,Single Family,,,,POINT (-73.59533 41.0677)
20110,2020,12/7/2020,Darien,10 WEBSTER VALLEY ROAD,1582210,2500000,0.6328,Residential,Single Family,,,,
201295,2020,7/1/2021,Greenwich,5 INDIAN KNOLL PLACE,3225810,3875000,0.8324,Residential,Single Family,,,,POINT (-73.67995 41.06767)
200353,2020,02/26/2021,Enfield,9 STORRS RD,83420,82500,1.0111,Residential,Single Family,25 - Other,NOT ON OPEN MARKET,,
200098,2020,5/3/2021,Killingworth,15 ROUTE 79,231050,410000,0.5635,Residential,Single Family,,,,POINT (-72.65148 41.4368)
200066,2020,10/29/2020,East Haven,23 HUGHES ST,114830,110000,1.043909091,Residential,Single Family,,,NO MLS,
20302,2020,5/4/2021,Bethel,14 SYCAMORE COURT,247240,389000,0.6355,Residential,Single Family,,,,POINT (-73.42715 41.37154)
200007,2020,10/19/2020,Kent,184 MACEDONIA RD,230500,535000,0.4308,Residential,Single Family,,,,POINT (-73.50304 41.74515)
200456,2020,8/11/2021,Avon,35 GUERNSEY LANE,277950,460000,0.6042,Residential,Single Family,,,,
200221,2020,11/16/2020,Danbury,12 CLAPBOARD RIDGE RD #17,207900,349000,0.5957,Residential,Condo,,H12002-17,,POINT (-73.46703 41.40643)
200684,2020,8/9/2021,Branford,162 BRUSHY PLAIN RD,210400,403000,0.522,Residential,Single Family,,,,
201053,2020,05/21/2021,Greenwich,85 SHERWOOD PLACE UN E,1160390,1830000,0.634,Residential,Condo,,,,POINT (-73.62669 41.0358)
20314,2020,01/21/2021,East Hartford,138 BURKE ST,90400,200000,0.452,Residential,Single Family,07 - Change in Property,,,POINT (-72.59365 41.73356)
2020090,2020,12/14/2020,Ansonia,57 PLATT ST,127400,202500,0.6291,Residential,Two Family,,,,
20039,2020,5/10/2021,Andover,22 HICKORY HILL,125000,255000,0.4901,Residential,Single Family,,,,POINT (-72.40433 41.75858)
2000424,2020,07/13/2021,Cheshire,7 MARKS PL,244680,446000,0.5486,Residential,Single Family,,,,
201126,2020,02/19/2021,Griswold,148 MATHEWSON ST UNIT 605,88620,142900,0.6201,Residential,Condo,,,,
200000438,2020,09/30/2021,Brookfield,20 FALMOUTH CT,114070,164000,0.6955,Residential,Condo,,,,POINT (-73.40212 41.44771)
200254,2020,4/1/2021,East Lyme,14 PATTAGANSETT CT,204750,315000,0.65,Residential,Two Family,,,,POINT (-72.20159 41.32468)
200235,2020,6/4/2021,Coventry,33 RIDGEBROOK DR,107200,187300,0.572343833,Residential,Single Family,25 - Other,SOLD W/ CRUMB FNDTN,,
201180,2020,08/13/2021,Bristol,50 CARRIAGE RD,169610,310000,0.5471,Residential,Single Family,,,,POINT (-72.91105 41.72073)
200255,2020,06/29/2021,Colchester,15 CARRIER RD,148700,310000,0.4796,Residential,Single Family,,,,
200136,2020,09/22/2021,Goshen,44 ASHLEY DRIVE,233880,365000,0.6407,Residential,Single Family,,,,
201347,2020,08/18/2021,Cromwell,18 FRANKLIN ROAD,144690,265000,0.546,Residential,Single Family,,,,POINT (-72.66373 41.60561)
200022,2020,10/22/2020,East Haddam,30 SIPPLES HILL RD,110260,142000,0.7764,Residential,Single Family,,,,POINT (-72.41732 41.51991)
200634,2020,03/31/2021,Bristol,268 DIVINITY ST UN 2-3,59430,99000,0.6003,Residential,Condo,,,,POINT (-72.95913 41.67051)
200352,2020,09/16/2021,Colchester,9 GARY LN,336100,595000,0.5648,Residential,Single Family,,,,
200244,2020,02/24/2021,Farmington,47 SHADY LA,200330,410000,0.4886,Residential,Single Family,,,,
200055,2020,11/20/2020,Litchfield,AVALON LN,100430,196000,0.5123,Vacant Land,,,,,
200058,2020,11/4/2020,Avon,39 CHEPACHET ROAD,226800,420000,0.54,Residential,Single Family,,,,
200689,2020,3/4/2021,Greenwich,33 MEADOWCROFT LANE,2226840,3700000,0.6018,Residential,Single Family,25 - Other,TEAR DOWN PURCHASE,,POINT (-73.63541 41.07353)
200500,2020,9/7/2021,Avon,245 NEW ROAD,217640,400000,0.5441,Residential,Single Family,,,,
200106,2020,01/22/2021,Litchfield,390 HUNTER DR,306500,505000,0.6069,Residential,Condo,,,,POINT (-73.14999 41.78213)
200067,2020,11/12/2020,Madison,75 CIRCLE BEACH RD & M-11/L-7,365100,700000,0.5215,Residential,Single Family,25 - Other,sale of 2 parcels/sep'ly assessed,,
201571,2020,8/11/2021,Greenwich,8 TAMARACK PLACE,648620,1280000,0.5067,Residential,Single Family,,,,POINT (-73.6726 41.03801)
200583,2020,03/15/2021,Bristol,18 HARDWICK RD,144340,233500,0.6181,Residential,Single Family,,,,POINT (-72.90796 41.68417)
201113,2020,06/24/2021,Danbury,20 LAWRENCE AV,230900,403000,0.5729,Residential,Condo,,K16120-1805,,
200331,2020,3/11/2021,East Haven,551 SILVER SANDS RD,209790,167500,1.252477612,Residential,Two Family,08 - Part Interest,,,
200137,2020,11/18/2020,Branford,25 FEATHERBED LA,182100,334000,0.5452,Residential,Single Family,,,,POINT (-72.77717 41.29476)
20454,2020,02/25/2021,Hartford,117 BABCOCK ST,52570,162000,0.3245,Residential,Three Family,04 - Correcting Deed,,,POINT (-72.68917 41.76053)
200176,2020,12/2/2020,Enfield,11 ENFIELD ST,136840,347000,0.3943,Commercial,,,,,POINT (-72.58376 42.02436)
200131,2020,12/23/2020,Avon,18 HAYNES ROAD,211120,300000,0.7037,Residential,Single Family,,,,
201469,2020,9/2/2021,Danbury,246 WHITE ST,589500,600000,0.9825,Commercial,,25 - Other,RATIO TOO HIGH / J13143,,POINT (-73.43728 41.39953)
200060,2020,10/27/2020,East Haven,152 KIMBERLY AVE,106800,219000,0.4876,Residential,Single Family,,,,POINT (-72.8777 41.28433)
200347,2020,05/27/2021,East Lyme,61 RIVERVIEW RD,165550,160000,1.0346875,Residential,Single Family,,RATIO TOO LOW,NO MLS,
200722,2020,04/22/2021,Manchester,135 AUTUMN STREET,95700,126869,0.754321387,Residential,Single Family,14 - Foreclosure,SALE FROM GOVERNMENT,,
200980,2020,5/7/2021,Greenwich,39 PIERSON DRIVE,5124350,9000000,0.5693,Residential,Single Family,25 - Other,NOT LISTED,,POINT (-73.69957 41.10277)
200297,2020,02/23/2021,Groton,187 BAKER AVE EXT,138740,270000,0.5138,Residential,Single Family,,,,
200617,2020,07/19/2021,Groton,64 ATLANTIC AVE,304220,577500,0.5267,Residential,Single Family,,,,POINT (-72.01264 41.31511)
200725,2020,08/30/2021,Groton,83 THREE ACRE RD,208250,385000,0.540909091,Residential,Single Family,,,,
201185,2020,7/8/2021,Danbury,18 MEADOWBROOK RD,190900,375250,0.5087,Residential,Two Family,,J10064,,
200093,2020,6/8/2021,East Granby,38 WYNDING HILLS ROAD,137800,235000,0.586382979,Residential,Single Family,25 - Other,,DUPLICATE ENTRY - ALSO SEE #200092,
2000384,2020,06/22/2021,Cheshire,44 ABRAMS RD,642350,1650000,0.38930303,Residential,Single Family,07 - Change in Property,,PER MLS HAS LARGE FINISHED BASEMENT AREA WITH ADDITIONAL FULL BATH,
200124,2020,12/15/2020,East Lyme,10 SALTAIRE AVE,255220,143333,1.7806,Residential,Single Family,08 - Part Interest,,,POINT (-72.20441 41.29547)
200059,2020,07/29/2021,Canaan,231 RT 63,270800,421050,0.6431,Residential,Single Family,,,,POINT (-73.30365 41.94041)
201246,2020,07/21/2021,Danbury,40 SO KING ST,299300,510000,0.5868,Residential,Single Family,,E10081,,POINT (-73.50513 41.43247)
20328,2020,1/12/2021,Hartford,37 ELLIOTT ST,137900,400000,0.3447,Apartments,,,,,
2020328,2020,9/2/2021,Ansonia,142 SILVER HILL RD PSWY,128700,322000,0.399689441,Residential,Single Family,07 - Change in Property,"SEVERAL VALUE CHANGING ELEMENTS DISCOVERED IN LISTING. EXTRA BATH, FIN BSMT AREA",,
20264,2020,04/19/2021,Darien,360 BROOKSIDE ROAD,2108050,3565000,0.5913,Residential,Single Family,,,,POINT (-73.47323 41.10905)
200592,2020,8/3/2021,Farmington,5 WHISPERING ROD RD,186170,360000,0.5171,Residential,Single Family,,,,
201125,2020,8/12/2021,Manchester,83 BIGELOW STREET,98800,245000,0.4032,Residential,Single Family,,,,POINT (-72.52528 41.77899)
200064,2020,11/23/2020,Cromwell,114 COLES RD,120750,244900,0.493058391,Residential,Single Family,07 - Change in Property,PROPERTY IMPROVEMENTS NOT REFLECTED IN OUR RECORDS,,
20008,2020,10/16/2020,Burlington,8 MERRIMAN DRIVE,278600,451000,0.6177,Residential,Single Family,,,,
201107,2020,01/25/2021,Griswold,206-208 NORTH MAIN ST,98000,210000,0.4666,Residential,Two Family,,DUPLEX,,
2020424,2020,09/27/2021,Berlin,224 STONY MILL LN,149400,270500,0.5523,Residential,Condo,,,,
200684,2020,8/12/2021,Groton,240 BRIDGE ST,100380,150000,0.6692,Residential,Two Family,25 - Other,ASSEMBLAGE-ASSESSOR,,
20179,2020,2/8/2021,Darien,5 WARNER DRIVE,380730,505000,0.7539,Residential,Single Family,,,,POINT (-73.48571 41.07011)
200230,2020,6/1/2021,Coventry,606 CARPENTER RD,168500,335000,0.5029,Residential,Single Family,,,,
200165,2020,5/3/2021,Litchfield,48 BANTAM TERR,91230,208000,0.4386,Residential,Single Family,,,,POINT (-73.24448 41.72381)
200479,2020,05/17/2021,Branford,525 EAST MAIN ST LOT 29,21900,54500,0.4018,Residential,Single Family,,MOBILE HOME ONLY,,
200924,2020,06/22/2021,Manchester,61 JOYCE LANE,180200,213500,0.844,Residential,Single Family,25 - Other,EXECUTORS DEED,,
200400,2020,12/21/2020,Greenwich,125 FIELD POINT ROAD A4,0,2950000,0,Residential,Condo,07 - Change in Property,NEW CONDO,,
20291,2020,04/28/2021,Bethel,99 PAYNE ROAD,150570,220000,0.6844,Residential,Single Family,01 - Family,,,POINT (-73.4047 41.4119)
200359,2020,09/21/2021,Colchester,NEW LONDON RD,9020,150000,0.0601,Vacant Land,,28 - Use Assessment,,,
200036,2020,3/5/2021,Chester,16 RIDGE RD,174150,337500,0.516,Residential,Single Family,,,,
200687,2020,08/31/2021,East Haven,48 ROSES FARM RD,159850,360000,0.444,Residential,Single Family,,,,
20216,2020,3/2/2021,Bethel,3 OAK TREEE COURT,235200,435000,0.5406,Residential,Single Family,,,,POINT (-73.43055 41.09739)
201263,2020,9/2/2021,Bristol,35 LESLIE COURT,91000,202000,0.4504,Residential,Single Family,,,,POINT (-72.96123 41.66561)
20258,2020,04/14/2021,Darien,141 WEST AVE,431410,460000,0.937847826,Residential,Single Family,01 - Family,,,POINT (-73.48289 41.0752)
201281,2020,07/29/2021,Danbury,7 PADANARAM RD 190,62700,109000,0.5752,Residential,Condo,,H10157-190,,POINT (-73.45913 41.41416)
20782,2020,05/13/2021,Hartford,134 SOUTH ST,71015,174000,0.4081,Residential,Three Family,25 - Other,SHORT SALE PER MLS INFORMATION,,POINT (-72.67691 41.7352)
201011,2020,05/13/2021,Greenwich,7 SMITH STREET SOUTH,277550,775000,0.358129032,Residential,Two Family,,,,
200205,2020,11/10/2020,Greenwich,17 DAVENPORT AVENUE,1194410,3175000,0.376192126,Residential,Single Family,,,GOOD SALE PER MLS,POINT (-73.62226 41.01736)
200197,2020,08/18/2021,Easton,115 OLD STONEWALL ROAD,523260,840000,0.6229,Residential,Single Family,,,,
200404,2020,04/19/2021,Groton,159 GROVE AVE,231000,240000,0.9625,Residential,Three Family,25 - Other,PRIVATE SALE PER SALES QUESTIONNAIRE,,POINT (-72.07606 41.36701)
200506,2020,08/16/2021,Guilford,606 DUNK ROCK RD,362550,745000,0.4866,Residential,Single Family,,,,
200780,2020,5/10/2021,Bristol,35 RUTH ST UN 42,62720,115000,0.5453,Residential,Condo,,,,
201180,2020,04/27/2021,Griswold,23 SOUTH MAIN ST UNIT 12,49420,969000,0.051,Residential,Condo,25 - Other,"CONDO'S 1,2,3,4,5,6,8,9,10,11,12,13,14 ALL SOLD TOGETHER",,POINT (-72.81847 41.454)
200456,2020,01/27/2021,Bristol,155 REDSTONE HILL RD UN 77,62510,97000,0.6444,Residential,Condo,,,,POINT (-72.90838 41.65753)
2020031,2020,10/26/2020,Berlin,493 SOUTHINGTON RD,354700,540000,0.6568,Residential,Single Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,,POINT (-72.81515 41.60107)
200093,2020,11/24/2020,Madison,93 FLINTLOCK RD,267000,325000,0.8215,Residential,Single Family,,,,POINT (-72.59023 41.29683)
200076,2020,12/21/2020,Colchester,68 PINE BROOK RD,185600,305000,0.6085,Residential,Single Family,,,,
200331,2020,05/17/2021,Madison,21 STONEWALL LN,302000,550000,0.549090909,Residential,Single Family,,,,
20629,2020,06/17/2021,East Hartford,235 GRANDE RD,108310,280000,0.386821429,Residential,Single Family,07 - Change in Property,,"PER MLS HAS UPDATED KITCHEN, 2 FULL BATHS, WOOD DECK AND BRICK PATIO",
200090,2020,10/30/2020,Branford,153 FOXBRIDGE VILLAGE,110400,157000,0.7031,Residential,Condo,,,,
20153,2020,6/7/2021,Burlington,NEPAUG RD 5/13/169,86660,85000,1.0195,Vacant Land,,10 - A Will,ESTATE SALE,,
200000404,2020,9/2/2021,Brookfield,68 OBTUSE ROAD SOUTH,156800,292500,0.536068376,Residential,Single Family,25 - Other,ESTATE SALE,,
200107,2020,07/22/2021,Harwinton,209 CATLIN RD,88980,205000,0.434,Residential,Single Family,,,,
20025,2020,10/30/2020,Burlington,99 CHAROLAIS WAY,359590,557000,0.6455,Residential,Single Family,,,,
2020026,2020,10/20/2020,Berlin,381 HIGH RD,140500,235000,0.5978,Residential,Single Family,,,,POINT (-72.78844 41.63736)
20270,2020,12/23/2020,Hartford,26 LOOMIS ST,29610,200000,0.14805,Residential,Three Family,07 - Change in Property,,RENOVATED PER MLS,
200915,2020,09/16/2021,Enfield,3 GUILD ST,114520,230000,0.4979,Residential,Single Family,,,,
200189,2020,12/14/2020,Groton,21 FENWICK CT,129850,265000,0.49,Residential,Single Family,,,,POINT (-71.98652 41.37596)
20202,2020,02/16/2021,Bethel,11 OLD LANTERN DRIVE NORTH,159320,300000,0.531,Residential,Single Family,,,,POINT (-73.3868 41.37847)
200888,2020,6/7/2021,Bristol,137 OLD TURNPIKE RD,165760,300000,0.5525,Residential,Single Family,,,,POINT (-72.89668 41.71194)
20098,2020,2/12/2021,Burlington,53 GILBERT LN,84070,90000,0.9341,Vacant Land,,,VACANT,,POINT (-72.99041 41.73247)
200559,2020,2/3/2021,Danbury,190 SOUTHERN BL,176600,350000,0.5045,Residential,Single Family,,H17165,,POINT (-73.45899 41.37762)
201690,2020,9/3/2021,Greenwich,53 RICHLAND ROAD,322910,755000,0.4276,Residential,Two Family,,,,POINT (-73.65172 41.00906)
201098,2020,6/2/2021,Greenwich,66 STIRRUP LANE,449680,805000,0.5586,Residential,Condo,,,,POINT (-73.58102 41.0491)
200948,2020,05/18/2021,Danbury,10 HAYESTOWN RD 3-23,266200,420000,0.6338,Residential,Condo,,I09066-23,,POINT (-73.45373 41.42229)
20342,2020,01/19/2021,Hartford,108 WARD ST,126770,227504,0.5572,Apartments,,,,,POINT (-72.68738 41.75613)
20910,2020,09/13/2021,East Hartford,5 CREE RD,12620,40000,0.3155,Residential,Condo,,MOBILE HOME,,POINT (-72.63598 41.73659)
200113,2020,12/7/2020,East Lyme,79 S WASHINGTON AVE,285880,700000,0.4084,Residential,Single Family,07 - Change in Property,,PER MLS ATTIC AREA IS FINISHED,
200752,2020,07/23/2021,Enfield,30 KING CT,91110,225000,0.4049,Residential,Single Family,,,,
200223,2020,3/8/2021,East Lyme,12 HARVEST GLEN,352800,620000,0.569,Residential,Single Family,,,,POINT (-72.23807 41.34421)
200756,2020,03/30/2021,Danbury,WEST KENOSIA AV,87800,159995,0.5487,Residential,Single Family,,MOBILE HOME / 26 GREENLAWN DR,,
200911,2020,09/15/2021,Enfield,26 BESS RD,132920,227000,0.5855,Residential,Single Family,,,,POINT (-72.57854 41.94857)
200080,2020,12/14/2020,Cromwell,7 WATCH HILL CIRCLE,110390,175000,0.6308,Residential,Condo,,,,POINT (-72.67141 41.6121)
200079,2020,12/7/2020,Bloomfield,1 BATH CRESCENT LANE,136990,290000,0.4723,Residential,Condo,,,,POINT (-72.77526 41.80818)
200077,2020,12/18/2020,Litchfield,MAPLE ST,560,205000,0.0027,Vacant Land,,28 - Use Assessment,,,
200196,2020,12/9/2020,Enfield,14 WAGON RD,120540,249500,0.4831,Residential,Single Family,,,,
200414,2020,12/23/2020,Greenwich,7 FAIRWAY LANE,2270660,4625000,0.490953514,Residential,Single Family,07 - Change in Property,CO ISSUED MID GL YEAR,,
200272,2020,02/16/2021,East Haven,81 WARNER RD,425120,585000,0.726700855,Residential,Single Family,,,,POINT (-72.82301 41.35572)
20036,2020,05/17/2021,Franklin,86 EAGER RD,234580,440000,0.5331,Residential,Single Family,,,,
200208,2020,05/24/2021,East Haddam,80 FALLS BASHAN RD,170380,135000,1.262074074,Residential,Single Family,,,NO MLS,
200775,2020,5/7/2021,Bristol,147 SHERBROOKE ST,106890,200000,0.5344,Residential,Single Family,,,,POINT (-72.94981 41.6574)
20941,2020,06/30/2021,Hartford,13 CROWN ST,81843,236000,0.346792373,Residential,Two Family,04 - Correcting Deed,CORRECTING DEED VOL 7787-141,,
200572,2020,7/8/2021,East Haven,866 THOMPSON ST,250550,375000,0.6681,Residential,Single Family,,,,
200346,2020,05/27/2021,Madison,109 HARTFORD AVE,983300,1930000,0.509481865,Residential,Single Family,,,,POINT (-72.64096 41.26781)
200644,2020,7/2/2021,Glastonbury,S/9F CHESTNUT HILL RD,5700,15000,0.38,Vacant Land,,12 - Non Buildable Lot,,,
20230,2020,09/15/2021,Burlington,26 SAW MILL RD,248150,385000,0.644545455,Residential,Single Family,,,,
20231,2020,12/11/2020,Hartford,100 MAGNOLIA ST,51940,220000,0.236,Residential,Three Family,,,,POINT (-72.68738 41.77942)
200004,2020,10/2/2020,Easton,76 KNAPP STREET,571900,1100000,0.5199,Residential,Single Family,,,,POINT (-73.28824 41.32187)
200002,2020,10/1/2020,Manchester,236 MIDDLE TURNPIKE EAST,111000,178000,0.6235,Residential,Single Family,,,,
201336,2020,8/10/2021,Cromwell,1212 CROMWELL HILS DRIVE,51380,119900,0.42852377,Residential,Condo,07 - Change in Property,UPDATE/REMOD NOT REFLECTED IN OUR RECORD,,POINT (-72.67793 41.60739)
200841,2020,08/20/2021,Enfield,20 PARK AVE,116150,291000,0.3991,Residential,Two Family,,,,
2020170,2020,02/23/2021,Berlin,200 OVERHILL DRIVE,126300,161000,0.7844,Residential,Single Family,,,,
200434,2020,12/30/2020,Greenwich,316 RIVERSIDE AVENUE,983710,1400000,0.7026,Residential,Single Family,10 - A Will,,,
200175,2020,6/2/2021,Mansfield,609 BROWNS RD,175300,200000,0.8765,Residential,Single Family,01 - Family,,,POINT (-72.24963 41.75555)
201765,2020,09/24/2021,Greenwich,5 GLEN STREET #105,532980,925000,0.5761,Residential,Condo,,,,POINT (-73.64024 41.01628)
200345,2020,03/23/2021,Groton,55 VIRGINIA AVE UNIT B,24290,113197,0.214581659,Residential,Condo,07 - Change in Property,RENOVATED,,POINT (-72.07098 41.34271)
2020412,2020,09/15/2021,Berlin,LOT 7 NATURES EDGE,82300,180000,0.4572,Vacant Land,,,,,
20000206,2020,7/9/2021,Granby,20 SILVER BROOK LN,249200,443000,0.5625,Residential,Single Family,,,,POINT (-72.83661 42.0263)
200593,2020,06/18/2021,Glastonbury,220 CHESTNUT HILL RD,383100,692000,0.5536,Residential,Single Family,,,,
200978,2020,7/2/2021,Manchester,24 PROSPECT STREET APT 36,30000,70000,0.4285,Residential,Condo,,,,
20465,2020,3/1/2021,Hartford,112 GILMAN ST,45360,230000,0.1972,Residential,Single Family,,,,
200194,2020,11/9/2020,Danbury,3 E KING ST,189900,325000,0.5843,Residential,Single Family,,E05008,,POINT (-73.50039 41.44309)
20044,2020,06/30/2021,Colebrook,1 CENTER BROOK,114300,163500,0.699,Residential,Single Family,10 - A Will,,,
200813,2020,08/30/2021,Glastonbury,209 GEORGETOWN DR,137800,247500,0.5567,Residential,Condo,,,,POINT (-72.58212 41.70696)
200086,2020,6/1/2021,Kent,SOUTH KENT RD,396400,975000,0.4065,Vacant Land,,25 - Other,MULTIPLE PARCELS,,
200138,2020,06/30/2021,Killingworth,27 BRIDALPATH TRAIL,0,189995,0,Residential,Single Family,07 - Change in Property,NEW MOBILE/MANUFACTURED HOME CONSTRUCTION,,POINT (-72.56211 41.37779)
2020197,2020,03/16/2021,Berlin,797 FARMINGTON AVE,135000,165000,0.8181,Commercial,,,,,
200384,2020,4/12/2021,East Haven,351 BRADLEY AVE,153900,265000,0.5807,Residential,Single Family,,,,POINT (-72.87435 41.29401)
200450,2020,5/5/2021,Branford,6 LAKEVIEW TERR,168600,310000,0.5438,Residential,Single Family,,,,
201142,2020,08/18/2021,Manchester,22D SAINT JAMES STREET,37700,85000,0.4435,Residential,Condo,,,,
200335,2020,12/9/2020,Manchester,667 NORTH MAIN STREET,99800,124368,0.802457224,Residential,Single Family,08 - Part Interest,PARTIAL INTEREST,,
200637,2020,07/19/2021,Branford,30 LOMARTRA LA,94000,656293,0.1432,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION/ LAND ONLY/CO ISSUED 7/15/21,,
20370,2020,01/26/2021,Hartford,71 LEBANON ST,50715,185000,0.2741,Residential,Two Family,,,,POINT (-72.69334 41.80331)
201275,2020,06/29/2021,Greenwich,22 BALDWIN FARMS SOUTH,3345300,4400000,0.7602,Residential,Single Family,06 - Portion of Property,PART OF A LARGER LAND SALE,,POINT (-73.65486 41.08047)
201144,2020,8/6/2021,Bristol,410 EMMETT ST UN 32,73570,146000,0.5039,Residential,Condo,,,,
