brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price
Lenovo,Chromebook,11.6 Inches,Scarlet,32 GB,Celeron,4 GB,Chrome OS,,Integrated,UHD Graphics 600,,3.9,966.16
Lenovo,,14 Inches,Red,,,8 GB,Windows 11 Pro,,Integrated,,,,372.64
DELL,Inspiron,16 Inches,Red,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1225.55
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,918.32
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1089.54
acer,Acer Chromebook,11.6 Inches,Silver,32 GB,MediaTek MT8183,32 GB,Chrome OS,HD Audio,Integrated,,,4.1,199.07
Dell,Latitude 5000,13.3 Inches,Gray,1024 GB,Core i7,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,3.9,993.66
Dell,Latitude,15.6 Inches,,256 GB,Core i7,8 GB,Windows 11 Pro,Anti-glare Screen,Integrated,Intel,,,1188.36
Lenovo,Chromebook S330,14 Inches,Black,64 GB,MediaTek_MT8127,4 GB,Chrome OS,Anti-glare,Integrated,,,4.0,997.36
HP,,15.6 Inches,Scarlet,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,,2.6 GHz,,1421.49
HP,HP Chromebook 11,11.6 Inches,Black,16 GB,Celeron,4 GB,Chrome OS,"Anti-glare,Anti-glare Screen",Integrated,,,4.3,917.61
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1016.03
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1273.04
acer,CB314-3HT-P6QW,14 Inches,Scarlet,64 GB,Pentium,8 GB,Chrome OS,,Integrated,Intel UHD Graphics,,3.5,1276.55
Dell,XPS 9315 Laptop,13.4 Inches,Burgundy,1000 GB,Core i7,32 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,640.2
ROKC,,14 Inches,Crimson,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1369.37
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1155.16
HP,HP Notebook,15.6 Inches,Red,128 GB,Celeron,8 GB,Windows 11,,Integrated,Intel UHD Graphics 600,,0.0,847.91
SAMSUNG,Galaxy Book Odyssey,15.6 Inches,Mystic Black,512 GB,Core i7,16 GB,Windows 11 Home,HD Audio,Dedicated,,,4.1,876.67
Dell,Precision 7000,17.3 Inches,,512 GB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,RTX A1000,NVIDIA RTX A1000,,,981.09
Dell,Latitude,14.1 Inches,Scarlet,300 GB,Core 2 Duo P8700,2 GB,Windows 7,,Integrated,Integrated Intel Graphic,,3.6,1094.64
Gateway,,14 Inches,Scarlet,64 GB,Celeron N4020,4 GB,"Windows 10 S, Windows 10",,Integrated,Intel,1.1 GHz,4.2,1095.76
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1225.0
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,690.23
acer,PT14-51-78B4,14 Inches,Silver,512 GB,Intel Core i7,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard, Memory Card Slot",Dedicated,,,2.5,1033.89
ASUS,,14 Inches,Rose Gold,320 GB,Celeron N4020,4 GB,Windows 11,Narrow Bezel,Integrated,Intel UHD Graphics 600,,0.0,1142.77
Dell,XPS 9510 Laptop,15.6 Inches,Platinum Silver,1000 GB,Core i9,64 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,,1283.25
Lenovo,ThinkPad P16s G1,16 Inches,,1 TB,Ryzen 5,32 GB,Windows 11 Pro,Anti-glare Screen,Radeon 680M,AMD Radeon 680M,,,1075.1
acer,AV14-51-58XZ,14 Inches,Burgundy,512 GB,Core i5,16 GB,Windows 11 Home,,Integrated,,4.4 GHz,4.8,1167.23
ROKC,,14 Inches,Crimson,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,932.7
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,728.9
Dell,i3493-3464BLK-PUS,14 Inches,Red,128 GB,Core i3-1005G1,4 GB,Windows 10,,Integrated,Intel UHD Graphics,,4.3,938.49
Lenovo,Lenovo,11.6 Inches,Burgundy,32 GB,,4 GB,Chrome OS,,Integrated,GX6250,,4.4,1070.25
Dell,Dell Inspiron,15.6 Inches,Burgundy,2000 GB,Core i5,8 GB,Windows 10,,Integrated,Intel HD Graphics 620,3.4 GHz,3.5,1204.67
ROKC,,14 Inches,Red,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1248.11
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,871.09
HP,EliteBook 830 G9,13.3 Inches,,256 GB,Core i5,16 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,1054.21
Dell,Latitude 5000,14 Inches,Gray,512 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,5.0,733.8
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,976.61
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,373.99
Lenovo,,14 Inches,,512 GB,Intel Core i5,20 GB,Windows 11 Home,"Anti-glare,Fingerprint Reader",Integrated,Intel Iris Xe Graphics,2.8 GHz,5.0,554.12
Dell,Latitude 5440,14 Inches,,1 TB,Core i7 Family,32 GB,Windows 11 Pro,"Anti-glare,Backlit Keyboard",Integrated,intel,,,1136.6
Toughbook,CF-20,10.1 Inches,Crimson,128 GB,core_m,8 GB,Windows 10 Pro,,Integrated,,,4.5,923.02
Dell,Latitude 5000,14 Inches,Gray,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,5.0,1203.4
Dell,Dell Latitude,15.6 Inches,Maroon,,,16 GB,Windows 10 Pro,,Dedicated,NVIDIA GeForce 940MX,2.9 GHz,3.4,642.95
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1007.35
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1423.38
Lenovo,ThinkPad L13 Gen 3,13.3 Inches,,256 GB,Ryzen 5,8 GB,Windows 11 Pro,Information Not Available,Radeon Graphics,AMD Radeon Graphics,,,911.14
Lenovo,ThinkPad P16 G1,16 Inches,Storm Grey,2 TB,Intel Core i7,64 GB,Windows 10 Pro,"Backlit Keyboard,Fingerprint",Dedicated,,,,1200.72
Dell,Precision 5000,17 Inches,Titan Gray,512 GB,Core i7,32 GB,Windows 10 Pro,"InfinityEdge, Anti-glare Screen",RTX A3000,,,,1014.09
acer,,,Maroon,,,4 GB,"Windows 11 Pro, Windows",,Integrated,Intel HD Graphics 400,,,1200.06
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,842.03
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1112.09
Dell,,11.6 Inches,Burgundy,,Celeron,4 GB,Chrome OS,,Integrated,Intel UHD Graphics,1.1 GHz,,1016.52
acer,A515-44-R41B,15.6 Inches,Silver,256 GB,Ryzen 5 4500U,8 GB,Windows 10 Home,Backlit Keyboard,Integrated,,,4.5,1053.83
Dell,XPS 9350,13.3 Inches,Red,256 GB,Core i7,8 GB,Windows 10,,"Integrated, Dedicated",Intel HD Graphics 5500,,3.8,1123.22
ROKC,,14 Inches,Crimson,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1322.31
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1282.72
Lenovo,ThinkBook 14 G4 IAP,14 Inches,,512 GB,Core i7,8 GB,Windows 11,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,0.0,1199.4
acer,TravelMate P6 P614-52,14 Inches,Galaxy Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,Multi-touch Gesture,Iris Xe Graphics,,,,753.17
ASUS,Asus ZenBook 13,13.3 Inches,Slate Grey,512 GB,Intel Core i5,8 GB,Windows 10 Home,"Backlit Kb,Bezel,Fingerprint",Integrated,,,4.4,1400.49
ASUS,Vivobook 14X,14 Inches,Scarlet,512 GB,Core i5,8 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 2050,,5.0,1115.19
Microsoft,Surface Laptop Go 2,12.4 Inches,Scarlet,256 GB,Intel Core i5-1135G7,8 GB,Windows 10 S,,Integrated,Intel Iris,,,1323.21
ROKC,,15.6 Inches,Maroon,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,843.18
HP,,15.6 Inches,Red,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1102.86
ROKC,Ideapad 3,15.6 Inches,Maroon,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1124.01
Lenovo,,15.6 Inches,,,,8 GB,,Backlit Keyboard,Dedicated,,,4.8,609.0
Dell,Latitude 5530,15.6 Inches,,512 GB,Core i7 Family,32 GB,Windows 11 Pro,Anti-glare,,Intel Iris Xe Graphics,4.7 GHz,,1388.04
LG,16Z90Q-K.AAS6U1,16 Inches,Gray,512 GB,Core i5,16 GB,Windows 11 Home,Lightweight,Dedicated,,,4.1,786.58
HP,Chromebook,14 Inches,Snow White,32 GB,Celeron,4 GB,Chrome OS,"Speakers: Stereo, Keyboard: Chiclet,",Integrated,,,4.4,784.2
DELL,Inspiron,16 Inches,Burgundy,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1391.95
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,987.6
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,878.6
Lenovo,ThinkPad X1 Carbon Gen 10,14 Inches,Black,512 GB,Core i7,16 GB,Windows 11,Anti-glare Screen,Iris Xe Graphics,,,0.0,1157.9
acer,CB5-132T-C67Q,11.6 Inches,Blue,,8032,4 GB,Chrome OS,Memory Card Slot,Integrated,intergrated,,4.4,934.2
ROKC,,15.6 Inches,Burgundy,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1157.0
HP,,15.6 Inches,Crimson,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1048.85
ROKC,Ideapad 3,15.6 Inches,Scarlet,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1116.7
Dell,Latitude 7000,14 Inches,Carbon Fiber,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,,794.05
Panasonic,CF-54,14 Inches,Silver/Black,256 GB,Core i5,8 GB,Windows 10,Touchscreen,"Integrated, Dedicated",,,3.8,1043.74
ASUS,ASUS Chromebook CX1,11.6 Inches,Transparent Silver,,Celeron,4 GB,Chrome OS,Anti-glare,Integrated,,2.8 GHz,1.0,638.39
ASUS,ASUS VivoBook,17.3 Inches,Red,1 TB,Intel Core i5,12 GB,Windows 11,,"Intel HD Graphics 5000, Integrated",Intel HD Graphics 5000,,0.0,564.08
DELL,Inspiron,16 Inches,Scarlet,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,630.7
ROKC,,14 Inches,Burgundy,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,747.74
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1034.26
Dell,Latitude 5310 Multi-Touch 2-in-1,13.3 Inches,Burgundy,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics,1.7 GHz,,800.2
HP,EliteBook 650 G9,15.6 Inches,,256 GB,Core i5,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,921.53
Dell,Precision Workstation 5770,17 Inches,Silver,1 TB,Intel Core i9,32 GB,Windows 11 Pro,Backlit Keyboard,Dedicated,,,,1266.67
Lenovo,Lenovo Thinkpad,14 Inches,Scarlet,,Core i7-8650U,16 GB,Windows 10 Pro,,,,,4.3,742.99
ROKC,,14 Inches,Red,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,644.82
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,989.95
Lenovo,ThinkPad P14s Gen 3,14 Inches,Black,512 GB,Ryzen 7,32 GB,Windows 11,"Anti-reflection, Anti-smudge",Radeon 680M Graphics,,,0.0,379.09
MSI,,15.6 Inches,Burgundy,,,64 GB,,,,,3.5 GHz,5.0,635.96
Lenovo,IdeaPad 3 15ITL6,15.6 Inches,Arctic Gray,256 GB,Pentium,4 GB,Windows 10 Home,Anti-glare Screen,UHD Graphics,,,5.0,883.22
HP,HP 14,14 Inches,Crimson,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,915.16
Microsoft,LQS-00038,13.5 Inches,Scarlet,,Core i5 8400T,8 GB,Windows 10 Home,,Integrated,,1.3 GHz,4.4,1482.69
Dell,DELL Latitude 5300,13.3 Inches,,512 GB,Core i5 8250U,16 GB,Windows 10 Pro,Speakers,Integrated,Intel Integrated Graphics,,4.2,960.03
ROKC,,15.6 Inches,Crimson,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1492.6
HP,,15.6 Inches,Maroon,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,971.81
ROKC,Ideapad 3,15.6 Inches,Red,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,846.34
ASUS,VivoBook Pro 16X,16 Inches,Black,1 TB,Core i7,32 GB,Windows 11 Home,"Fingerprint Reader, High Definition Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot",RTX 3050 Ti,,,3.3,532.3
LG,16Z90P-K.AAB9U1,16 Inches,Black,1 TB,Core i7 Family,16 GB,Windows 11,Alexa,Integrated,,,0.0,835.04
Panasonic,CF-31 MK5,13.1 Inches,Silver/Black,480 GB,Core i5 5300U,8 GB,Windows 10,Anti-glare,Integrated,,,5.0,1164.66
Acer,,,Maroon,1 TB,,16 GB,Windows,,Dedicated,NVIDIA GeForce RTX 4050,,,693.48
DELL,Inspiron,16 Inches,Crimson,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,700.82
ROKC,,14 Inches,Burgundy,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,970.49
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,887.52
Lenovo,ThinkPad E570,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Professional 64-bit,Fingerprint Reader,Integrated,,,3.5,1348.02
Dell,Latitude,15.6 Inches,Scarlet,2 TB,Core i7 Family,64 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,5.0,1227.93
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,1.0,891.06
Dell,7520,15.6 Inches,Black,256 GB,Core i7,32 GB,Windows 10 Pro,TrackPoint,"Integrated, Dedicated",,,,1273.22
ROKC,,14 Inches,Crimson,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,865.54
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1244.41
ASUS,ASUS Vivobook 16 Laptop,16 Inches,Red,512 GB,Ryzen 7 5800H,12 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,,480.05
Dell,Dell Inspiron,13.3 Inches,Era Gray,256 GB,,8 GB,Windows 10 Home,"Backlit Keyboard,Spill-resistant",AMD Radeon,,,3.7,586.12
Lenovo,20VK0019US,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,"Fingerprint Reader,Pen",Integrated,,,3.7,918.48
Dell,Alienware m17 Ryzen Edition R5 Laptop,17.3 Inches,Burgundy,512 GB,AMD Ryzen 7,12 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,,,692.97
Panasonic,Panasonic Toughbook,13.1 Inches,Silver/Black,1 TB,Core i5,16 GB,Windows 10,Backlit Keyboard,Integrated,,,4.2,1253.84
Dell,G15 5521 Laptop,15.6 Inches,Scarlet,1000 GB,Core i9,16 GB,Windows 10 Home,,Integrated,NVIDIA GeForce RTX 3070 Ti,,,748.47
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1126.64
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,981.7
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,1000 GB,Core i5,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,1122.59
Dell,Precision 7770,17 Inches,,512 GB,Intel Core i9,32 GB,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA RTX A5500 16GB GDDR6,,,882.94
Lenovo,Chromebook,14 Inches,Gray,32 MB,,4 GB,Chrome OS,Backlit Keyboard,Integrated,AMD Radeon R5,,4.1,1195.35
Dell,Latitude 7440,14 Inches,,512 GB,Intel Core i7,32 GB,Windows 11 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,,,855.14
Dell,Latitude Rugged 5430 Laptop,14 Inches,Red,1000 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,5.0,919.16
ROKC,,14 Inches,Burgundy,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,878.07
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,998.13
HP,,11.6 Inches,Burgundy,,Celeron,4 GB,Chrome OS,,Integrated,,1.6 GHz,3.9,995.16
ASUS,ASUS VivoBook 17X,17.3 Inches,Blue,512 GB,Ryzen 7 5800H,8 GB,Windows 11 Home,Fingerprint Sensor,Integrated,,,3.8,1302.3
MSI,Summit E13FlipEvo A13MT-220US,13.4 Inches,Maroon,1 TB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Iris,,,998.7
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1259.71
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,737.92
acer,A515-57G-58R7,15.6 Inches,Gray,512 GB,Intel Core i5,8 GB,Windows 11 Home,"Backlit Kb,Fingerprint Reader",Dedicated,,,4.2,796.16
Lenovo,,16 Inches,,,,16 GB,Windows 11 Pro,Anti-glare,Integrated,AMD Radeon 680M,,,337.61
Dell,Latitude 9520 Laptop,15 Inches,Black,512 GB,Core i7,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,544.79
Dell,Precision 5560,15.6 Inches,Maroon,1 TB,Intel Core i9,16 GB,Windows 10 Pro,,Integrated,NVIDIA RTX A2000 w/4GB,2.6 GHz,4.2,1092.24
SAMSUNG,XE350XBA-K05US,15.6 Inches,Scarlet,,Celeron N4000,4 GB,Windows 10,,Integrated,,2.6,,1060.73
acer,TMP614-51-G2-5442,14 Inches,Black,,Core i5,,Windows 10 Pro,Fingerprint Reader,Integrated,Intel UHD Graphics,4.4 GHz,4.1,491.57
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1016.35
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,677.79
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,636.8
Dell,Precision 7000,16 Inches,,1 TB,Core i9,64 GB,Windows 11 Pro,Anti-glare Screen,RTX 3500 Ada,NVIDIA RTX 3500 Ada,,,965.84
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1010.25
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1442.61
ASUS,Rog Strix Scar G533Z,15.6 Inches,Off Black,1 TB,Intel Core i9,32 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,,712.28
ASUS,CR1100FKA-YZ182T-S,11.6 Inches,,32 GB,Celeron N,8 GB,Chrome OS,Spill resistant,Integrated,Intel UHD Graphics,,,693.65
Panasonic,Panasonic Toughbook,15.4 Inches,Silver/Black,480 GB,Core i5,16 GB,Windows 10 Pro,"Stereo,Stereo/",Integrated,,,5.0,1134.94
ASUS,Vi F5,15.6 Inches,Gray,128 GB,Intel Core i3,8 GB,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,0.0,725.33
Apple,MacBook Pro,16 Inches,Burgundy,1 TB,Core i9 7960X,16 GB,Mac OS,,Dedicated,Intel UHD Graphics 630,,4.7,869.9
Dell,Precision 3000,14 Inches,,512 GB,Core i7,16 GB,Windows 10,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,792.94
ROKC,,15.6 Inches,Scarlet,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1043.19
HP,,15.6 Inches,Red,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,886.61
ROKC,Ideapad 3,15.6 Inches,Red,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1205.4
Lenovo,ThinkCentre M90s Gen 3,,Black,,Core i7-10700T,16 GB,Windows 11,Security Slot,,,,0.0,937.58
Lenovo,IdeaPad Slim 7 Pro 14IHU5,14 Inches,Crimson,512 GB,Core i5 Family,16 GB,Windows 11 Home,,Iris Xe Graphics,Intel Iris Xe Graphics,,4.3,929.48
ASUS,ASUS VivoBook,15.6 Inches,Crimson,128 GB,,4 GB,Windows 10 Home,,Dedicated,AMD Radeon R7,,4.1,1263.95
Panasonic,CF-52 MK5,15.4 Inches,grey/black,240 GB,Core i5,8 GB,Windows 10,Stereo Speakers,Dedicated,,,3.9,1038.59
DELL,Inspiron,16 Inches,Burgundy,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1027.71
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,923.38
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,621.35
Lenovo,IdeaPad 3 Lenovo,15.6 Inches,Abyss Blue,512 GB,Core i5 Family,16 GB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Integrated,,,,908.21
ROKC,,14 Inches,Burgundy,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,831.05
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,823.73
Lenovo,Lenovo,15.6 Inches,Scarlet,256 GB,Intel Core i5,12 GB,Windows 10,,Integrated,INTEL,,4.4,518.96
MSI,Creator M16 B13VE-1251US,16 Inches,Red,1 TB,Core i9,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,,859.4
Lenovo,130-15AST,15.6 Inches,Red,128 GB,AMD A Series,4 GB,Windows 10 Home,,Dedicated,AMD Radeon R5,,4.2,703.39
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,914.49
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,813.13
LG,16Z90R-N.APC5U1,16 Inches,Crimson,512 GB,Core i5,8 GB,Windows 11 Pro,,Integrated,Intel HD Graphics 520,,,1333.65
Dell,Latitude,15.6 Inches,Red,2 TB,Core i5,32 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5.0,723.31
Dell,Inspiron,14 Inches,Scarlet,2 TB,Core i7 Family,64 GB,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,5.0,641.92
Dell,5300,13.3 Inches,Gray,256 GB,Core i7 Family,16 GB,Windows 10 Pro,Backlit Keyboard,Integrated,,,4.2,819.57
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1384.27
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1083.2
HP,ELITEBOOK 820G3,12.5 Inches,Scarlet,500 GB,Core i7,8 GB,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,,,1149.61
Lenovo,ThinkPad P16 G1,16 Inches,Storm Grey,2 TB,Core i7 Family,32 GB,Windows 11 Pro,"Fingerprint Reader, TrackPoint, Backlit Keyboard, Anti Glare Coating, Numeric Keypad",Dedicated,,,2.5,777.13
LG,15ZB90Q-V.ARS5U1,15 Inches,Crimson,512 GB,Core i5,8 GB,Windows 11 Home,,Integrated,,3.3,,896.47
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1340.56
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,995.17
Dell,Alienware m15 R5 Ryzen Edition Laptop,15.6 Inches,Dark Side of the Moon,1000 GB,AMD Ryzen 7,32 GB,Windows 10 Home,Wifi & Bluetooth,Nvidia GeForce RTX 3070,,,4.2,595.5
